1,Abdullah,704,632,2013
2,Absalom,444,339,2007
3,Acilia,706,652,2013
4,Adele,608,527,2010
5,Aggie 68,552,461,2009
6,Agotogi,163,100,2001
7,Agsilly,570,482,2010
8,Agyo,706,652,2013
9,Ahho Desunen IX,587,501,2010
10,Ahho Zurako,587,501,2010
11,Ahiru,905,883,2018
12,Aisa,249,161,2002
13,Akehende,548,451,2009
14,Akudai Kanzaburo,926,918,2018
15,Akumai,129,78,2000
16,Aladine,620,540,2011
17,Albion,600,519,2010
18,Ally,658,583,2012
19,Alpacaman,934,929,2019
20,Alvida,2,1,1997
21,Amadob,559,467,2009
22,Amazon,238,153,2002
23,An Zengaiina,528,425,2009
24,And,379,267,2005
25,Andre,558,479,2009
26,Anjo,1,400,1997
27,Ankoro,606,525,2010
28,Antonio,497,391,2008
29,Ao,551,460,2009
30,Aphelandra,514,408,2008
31,Aramaki,905,882,2018
32,Aremo Ganmi,707,636,2013
33,Arlong,69,31,1999
34,Arrow,196,120,2001
35,Arthur,556,472,2009
36,Aruyutayan V,292,189,2003
37,Asahija,483,375,2007
38,Asashichi,930,924,2019
39,Ashura Doji,920,910,2018
40,Aswa,163,100,2001
41,Atagoyama,915,902,2018
42,Atmos,553,461,2009
43,Attach,436,321,2006
44,Avalo Pizarro,575,484,2010
45,Azuki,940,936,2019
46,Babanuki,934,930,2019
47,Babe,160,103,2000
48,Baby 5,682,608,2012
49,Bacura,516,409,2008
50,Baggaley,561,489,2009
51,Bakezo,668,594,2012
52,Bakkin,802,752,2015
53,Ban Dedessin�e,823,777,2016
54,Banchi,114,67,1999
55,Banchina,41,17,1998
56,Bankuro,966,959,2020
57,Banshee,552,461,2009
58,Banzaburo,960,960,2019
59,Bao,449,343,2007
60,Bao Huang,979,985,2020
61,Bariete,804,753,2015
62,Barrel,196,120,2001
63,Barry,552,461,2009
64,Bartholomew Kuma,233,151,2002
65,Bartolomeo,705,633,2013
66,Bas,379,267,2005
67,Basil Hawkins,498,392,2008
68,Basilisk,528,425,2009
69,Bastille,553,462,2009
70,Batchee,43,20,1998
71,Batman,914,900,2018
72,Baxcon,718,648,2013
73,Beer VI,823,777,2016
74,Belladonna,515,408,2008
75,Bellamy,222,146,2002
76,Bellett,537,439,2009
77,Bellmere,77,32,1999
78,Belo Betty,904,880,2018
79,Benn Beckman,1,4,1997
80,Bentham,129,78,2000
81,Bepo,498,392,2008
82,Bian,713,647,2013
83,Big Pan,309,210,2004
84,Bimine,657,,2004
85,Bingo,928,921,2018
86,Bishamon,931,925,2019
87,Biyo,660,583,2012
88,Bizarre,553,468,2009
89,Black Maria,977,982,2020
90,Blackback,805,754,2015
91,Blamenco,553,461,2009
92,Blenheim,553,461,2009
93,Blondie,558,468,2009
94,Blue Fan,516,410,2008
95,Blue Gilly,706,636,2013
96,Bluejam,584,494,2010
97,Blueno,325,230,2004
98,Blumarine,967,959,2020
99,Boa Hancock,516,409,2008
100,Boa Marigold,516,409,2008
101,Boa Sandersonia,516,409,2008
102,Bobbin,651,571,2012
103,Bobby Funk,704,632,2013
104,Bobomba,711,641,2013
105,Bogard,92,68,1999
106,Bomba,652,589,2012
107,Bombaa,711,641,2013
108,Bongo,928,921,2018
109,Bonk Punch,1,4,1997
110,Boo,704,632,2013
111,Boodle,12,6,1997
112,Boogie,1038,,2022
113,Borsalino,504,398,2008
114,Bourbon Jr.,180,111,2001
115,Braham,249,163,2002
116,Brahm,196,120,2001
117,Brannew,96,45,1999
118,Brew,561,470,2009
119,Briscola,993,982,2020
120,Brocca,561,470,2009
121,Brogy,116,71,2000
122,Brontosaurus,115,,1999
123,Brook,442,337,2007
124,Bubblegum,1029,,2021
